From Station,To Station,Coordenadas 1,Coordenadas 2,Distancia
kallithea,neos kosmos,"(37.96056, 23.69722)","(37.95778, 23.72861)",2.76932086308896
kallithea,aghios ioannis,"(37.96056, 23.69722)","(37.9565, 23.7342)",3.273407473047689
kallithea,dafni,"(37.96056, 23.69722)","(37.949236, 23.737222)",3.7264319667432964
kallithea,aghios dimitrios,"(37.96056, 23.69722)","(37.940278, 23.740694)",4.429076351627551
kallithea,ilioupoli,"(37.96056, 23.69722)","(37.929583, 23.744514)",5.3910372605435795
kallithea,alimos,"(37.96056, 23.69722)","(37.918056, 23.744514)",6.287986328950181
kallithea,argyroupoli,"(37.96056, 23.69722)","(37.903056, 23.745903)",7.688675183367677
kallithea,elliniko,"(37.96056, 23.69722)","(37.892569, 23.747153)",8.737216652061097
kallithea,dimotiko theatro,"(37.96056, 23.69722)","(37.942924, 23.647588)",4.773205044323214
kallithea,maniatika,"(37.96056, 23.69722)","(37.95968, 23.640033)",5.014570320856841
kallithea,nikea,"(37.96056, 23.69722)","(37.966666, 23.633333)",5.641745373237207
kallithea,korydallos,"(37.96056, 23.69722)","(37.9789, 23.6405)",5.373995273357603
kallithea,aghia varvara,"(37.96056, 23.69722)","(37.989722, 23.659444)",4.634514893306882
kallithea,aghia marina,"(37.96056, 23.69722)","(37.9972, 23.6674)",4.840481816285994
kallithea,egaleo,"(37.96056, 23.69722)","(37.9913, 23.6772)",3.8422563956888074
kallithea,eleonas,"(37.96056, 23.69722)","(37.9878, 23.6925)",3.0570788726072347
kallithea,kerameikos,"(37.96056, 23.69722)","(37.9786, 23.7115)",2.3644895751849857
kallithea,evangelismos,"(37.96056, 23.69722)","(37.976388, 23.746944)",4.700746883341871
kallithea,megaro moussikis,"(37.96056, 23.69722)","(37.97861, 23.7525)",5.245011163782871
kallithea,ambelokipi,"(37.96056, 23.69722)","(37.98722, 23.7575)",6.058585458480898
kallithea,panormou,"(37.96056, 23.69722)","(37.9931, 23.7637)",6.859013615703835
kallithea,katehaki,"(37.96056, 23.69722)","(37.9954, 23.7727)",7.66658187498567
kallithea,ethniki amyna,"(37.96056, 23.69722)","(38.0, 23.785555)",8.898053397774023
kallithea,holargos,"(37.96056, 23.69722)","(38.001666, 23.812222)",11.0673604407297
kallithea,nomismatokopio,"(37.96056, 23.69722)","(38.00917, 23.80583)",10.946301830827426
kallithea,aghia paraskevi,"(37.96056, 23.69722)","(38.017222, 23.8125)",11.906353816172311
kallithea,halandri,"(37.96056, 23.69722)","(38.02167, 23.82083)",12.787268761177558
kallithea,douk. plakentias,"(37.96056, 23.69722)","(38.023361, 23.833055)",13.800700079626463
